Transaction ID,Date,Sender Name,Sender Country,Sender Bank,Receiver Name,Receiver Country,Receiver Bank,Amount,Transaction Details,Status,Sender Predicted Category,Receiver Predicted Category
TXN0001,2025-03-26 06:12:34,Rostec,Switzerland,JP Morgan Chase,Red Cross,British Virgin Islands,HSBC,"$1,447,468",Cheque,Pending,Shell Company,NGO
TXN0002,2025-03-26 06:12:34,Panama Offshore Holdings,Russia,JP Morgan Chase,Rothschild & Co,Germany,Swiss National Bank,"$4,110,228",Wire Transfer,Pending,Shell Company,Corporation
TXN0003,2025-03-26 06:12:34,HSBC Holdings,Switzerland,Cayman National Bank,Panama Offshore Holdings,Switzerland,Cayman National Bank,"$2,471,007",Cheque,Rejected,Corporation,Shell Company
TXN0004,2025-03-26 06:12:34,Goldman Sachs,British Virgin Islands,HSBC,Oxfam International,China,Deutsche Bank,"$3,393,360",Cheque,Under Review,Corporation,NGO
TXN0005,2025-03-26 06:12:34,BlackRock,Panama,JP Morgan Chase,HSBC Holdings,Panama,JP Morgan Chase,"$880,600",Cryptocurrency,Rejected,Shell Company,Corporation
TXN0006,2025-03-26 06:12:34,Panama Offshore Holdings,Cayman Islands,Deutsche Bank,Goldman Sachs,Russia,JP Morgan Chase,"$785,885",Wire Transfer,Pending,Shell Company,Corporation
TXN0007,2025-03-26 06:12:34,Panama Offshore Holdings,USA,Swiss National Bank,Oxfam International,China,Swiss National Bank,"$2,765,327",Cryptocurrency,Rejected,Shell Company,NGO
TXN0008,2025-03-26 06:12:34,Rothschild & Co,British Virgin Islands,Swiss National Bank,Rothschild & Co,Switzerland,Deutsche Bank,"$4,201,108",Cheque,Completed,Corporation,Corporation
TXN0009,2025-03-26 06:12:34,JP Morgan Chase,USA,HSBC,Shell Trading Ltd,Panama,HSBC,"$3,404,623",SWIFT,Rejected,Corporation,Corporation
TXN0010,2025-03-26 06:12:34,United Nations,Cayman Islands,Deutsche Bank,United Nations,Cayman Islands,JP Morgan Chase,"$3,499,576",Cryptocurrency,Completed,Government Organization,Government Organization
TXN0011,2025-03-26 06:12:34,World Health Organization,China,Cayman National Bank,Tesla Inc.,UK,Deutsche Bank,"$54,702",Cryptocurrency,Pending,NGO,Corporation
TXN0012,2025-03-26 06:12:34,World Health Organization,Panama,Swiss National Bank,Shell Trading Ltd,China,JP Morgan Chase,"$2,616,454",Cryptocurrency,Rejected,NGO,Corporation
TXN0013,2025-03-26 06:12:34,Oxfam International,Panama,Deutsche Bank,ExxonMobil,Panama,Cayman National Bank,"$2,079,649",Wire Transfer,Pending,NGO,Corporation
TXN0014,2025-03-26 06:12:34,Oxfam International,British Virgin Islands,Swiss National Bank,BlackRock,Russia,HSBC,"$3,653,241",Cheque,Rejected,NGO,Shell Company
TXN0015,2025-03-26 06:12:34,Panama Offshore Holdings,Cayman Islands,HSBC,Goldman Sachs,Panama,Swiss National Bank,"$331,883",Cryptocurrency,Completed,Shell Company,Corporation
TXN0016,2025-03-26 06:12:34,HSBC Holdings,China,Deutsche Bank,BlackRock,Cayman Islands,Deutsche Bank,"$4,662,678",SWIFT,Under Review,Corporation,Shell Company
TXN0017,2025-03-26 06:12:34,Hawala Network Inc,Russia,HSBC,Goldman Sachs,Germany,Deutsche Bank,"$2,970,478",Cryptocurrency,Under Review,Shell Company,Corporation
TXN0018,2025-03-26 06:12:34,ExxonMobil,China,Cayman National Bank,Shell Trading Ltd,Switzerland,Deutsche Bank,"$3,100,213",Cryptocurrency,Under Review,Corporation,Corporation
TXN0019,2025-03-26 06:12:34,Greenpeace,UK,JP Morgan Chase,Red Cross,Cayman Islands,Deutsche Bank,"$4,393,366",Cryptocurrency,Pending,NGO,NGO
TXN0020,2025-03-26 06:12:34,United Nations,China,HSBC,Panama Offshore Holdings,Russia,JP Morgan Chase,"$558,646",Cheque,Pending,Government Organization,Shell Company
TXN0021,2025-03-26 06:12:34,Tesla Inc.,Russia,HSBC,BlackRock,Russia,Swiss National Bank,"$3,173,721",SWIFT,Pending,Corporation,Shell Company
TXN0022,2025-03-26 06:12:34,Goldman Sachs,China,Deutsche Bank,JP Morgan Chase,USA,Swiss National Bank,"$4,068,225",Cryptocurrency,Completed,Corporation,Corporation
TXN0023,2025-03-26 06:12:34,Hawala Network Inc,Switzerland,Deutsche Bank,ExxonMobil,China,Cayman National Bank,"$3,399,341",Wire Transfer,Pending,Shell Company,Corporation
TXN0024,2025-03-26 06:12:34,Red Cross,Germany,Deutsche Bank,Panama Offshore Holdings,Cayman Islands,HSBC,"$4,623,324",Wire Transfer,Under Review,NGO,Shell Company
TXN0025,2025-03-26 06:12:34,Shell Trading Ltd,Germany,Cayman National Bank,Greenpeace,Russia,Swiss National Bank,"$329,774",Cheque,Rejected,Corporation,NGO
TXN0026,2025-03-26 06:12:34,Greenpeace,Cayman Islands,Deutsche Bank,World Health Organization,Germany,Cayman National Bank,"$2,555,932",Cryptocurrency,Pending,NGO,NGO
TXN0027,2025-03-26 06:12:34,Greenpeace,Cayman Islands,Deutsche Bank,World Health Organization,Russia,Swiss National Bank,"$428,364",Cheque,Under Review,NGO,NGO
TXN0028,2025-03-26 06:12:34,World Health Organization,UK,Cayman National Bank,Rothschild & Co,USA,Swiss National Bank,"$1,307,986",Cheque,Completed,NGO,Corporation
TXN0029,2025-03-26 06:12:34,ABC Offshore Services,China,Cayman National Bank,Rothschild & Co,USA,HSBC,"$3,162,837",Cheque,Under Review,Shell Company,Corporation
TXN0030,2025-03-26 06:12:34,HSBC Holdings,Germany,JP Morgan Chase,United Nations,Russia,JP Morgan Chase,"$4,472,323",Wire Transfer,Pending,Corporation,Government Organization
TXN0031,2025-03-26 06:12:34,United Nations,Cayman Islands,HSBC,Greenpeace,Switzerland,HSBC,"$1,404,885",SWIFT,Rejected,Government Organization,NGO
TXN0032,2025-03-26 06:12:34,Shell Trading Ltd,China,JP Morgan Chase,Rothschild & Co,Cayman Islands,Deutsche Bank,"$4,874,219",Wire Transfer,Pending,Corporation,Corporation
TXN0033,2025-03-26 06:12:34,Tesla Inc.,British Virgin Islands,Deutsche Bank,United Nations,Panama,JP Morgan Chase,"$2,530,750",Wire Transfer,Rejected,Corporation,Government Organization
TXN0034,2025-03-26 06:12:34,Shell Holdings Ltd,Germany,HSBC,Greenpeace,USA,HSBC,"$665,387",SWIFT,Under Review,Corporation,NGO
TXN0035,2025-03-26 06:12:34,North Korea Trading Corporation,China,Deutsche Bank,BlackRock,Germany,JP Morgan Chase,"$2,532,518",Cheque,Pending,Shell Company,Shell Company
TXN0036,2025-03-26 06:12:34,Rothschild & Co,USA,Deutsche Bank,Panama Offshore Holdings,Germany,Cayman National Bank,"$901,383",Cryptocurrency,Under Review,Corporation,Shell Company
TXN0037,2025-03-26 06:12:34,Tesla Inc.,UK,Cayman National Bank,BlackRock,USA,Swiss National Bank,"$1,470,347",SWIFT,Under Review,Corporation,Shell Company
TXN0038,2025-03-26 06:12:34,ExxonMobil,Russia,HSBC,Panama Offshore Holdings,Switzerland,Deutsche Bank,"$3,160,416",SWIFT,Completed,Corporation,Shell Company
TXN0039,2025-03-26 06:12:34,Vladimir Putin,China,HSBC,Oxfam International,Panama,JP Morgan Chase,"$857,555",Wire Transfer,Completed,PEP,NGO
TXN0040,2025-03-26 06:12:34,World Health Organization,Switzerland,HSBC,World Health Organization,China,JP Morgan Chase,"$379,034",Cheque,Under Review,NGO,NGO
TXN0041,2025-03-26 06:12:34,Tesla Inc.,Switzerland,Cayman National Bank,Tesla Inc.,China,JP Morgan Chase,"$1,698,058",SWIFT,Under Review,Corporation,Corporation
TXN0042,2025-03-26 06:12:34,Vladimir Putin,Germany,Cayman National Bank,HSBC Holdings,Switzerland,Deutsche Bank,"$3,625,835",SWIFT,Rejected,PEP,Corporation
TXN0043,2025-03-26 06:12:34,JP Morgan Chase,China,HSBC,ExxonMobil,USA,Swiss National Bank,"$3,078,418",SWIFT,Pending,Corporation,Corporation
TXN0044,2025-03-26 06:12:34,Rostec,Cayman Islands,Cayman National Bank,Greenpeace,Switzerland,JP Morgan Chase,"$4,130,705",Cryptocurrency,Pending,Shell Company,NGO
TXN0045,2025-03-26 06:12:34,Panama Offshore Holdings,UK,JP Morgan Chase,Shell Trading Ltd,Panama,Swiss National Bank,"$2,223,775",SWIFT,Completed,Shell Company,Corporation
TXN0046,2025-03-26 06:12:34,Vladimir Putin,Switzerland,Swiss National Bank,World Health Organization,Germany,HSBC,"$329,852",Cheque,Completed,PEP,NGO
TXN0047,2025-03-26 06:12:34,Rostec,Russia,JP Morgan Chase,Rothschild & Co,Germany,Swiss National Bank,"$1,761,994",Wire Transfer,Under Review,Shell Company,Corporation
TXN0048,2025-03-26 06:12:34,Red Cross,USA,Swiss National Bank,JP Morgan Chase,Switzerland,Swiss National Bank,"$3,300,148",SWIFT,Under Review,NGO,Corporation
TXN0049,2025-03-26 06:12:34,Red Cross,Germany,JP Morgan Chase,Rothschild & Co,Panama,JP Morgan Chase,"$2,504,001",Cheque,Pending,NGO,Corporation
TXN0050,2025-03-26 06:12:34,Tesla Inc.,Panama,Cayman National Bank,Red Cross,Russia,HSBC,"$689,635",Cheque,Under Review,Corporation,NGO
TXN0051,2025-03-26 06:12:34,Nicolas Maduro,UK,JP Morgan Chase,HSBC Holdings,Cayman Islands,Deutsche Bank,"$2,479,579",SWIFT,Pending,PEP,Corporation
TXN0052,2025-03-26 06:12:34,Red Cross,British Virgin Islands,Swiss National Bank,Tesla Inc.,China,Deutsche Bank,"$4,896,719",SWIFT,Completed,NGO,Corporation
TXN0053,2025-03-26 06:12:34,ExxonMobil,British Virgin Islands,Cayman National Bank,HSBC Holdings,Cayman Islands,Swiss National Bank,"$1,066,816",Wire Transfer,Completed,Corporation,Corporation
TXN0054,2025-03-26 06:12:34,Shell Trading Ltd,Panama,HSBC,JP Morgan Chase,China,Deutsche Bank,"$2,098,177",Wire Transfer,Under Review,Corporation,Corporation
TXN0055,2025-03-26 06:12:34,Nicolas Maduro,USA,Cayman National Bank,Red Cross,Russia,Deutsche Bank,"$4,171,083",Cheque,Completed,PEP,NGO
TXN0056,2025-03-26 06:12:34,BlackRock,Russia,HSBC,World Health Organization,UK,Cayman National Bank,"$3,408,704",SWIFT,Pending,Shell Company,NGO
TXN0057,2025-03-26 06:12:34,United Nations,USA,JP Morgan Chase,HSBC Holdings,Cayman Islands,Deutsche Bank,"$3,652,041",Cheque,Rejected,Government Organization,Corporation
TXN0058,2025-03-26 06:12:34,Rothschild & Co,Germany,Swiss National Bank,BlackRock,Russia,JP Morgan Chase,"$52,254",Cryptocurrency,Under Review,Corporation,Shell Company
TXN0059,2025-03-26 06:12:34,Panama Offshore Holdings,Cayman Islands,HSBC,United Nations,Cayman Islands,JP Morgan Chase,"$1,803,826",Cheque,Pending,Shell Company,Government Organization
TXN0060,2025-03-26 06:12:34,BlackRock,Panama,Swiss National Bank,United Nations,USA,Cayman National Bank,"$1,767,908",Cheque,Rejected,Shell Company,Government Organization
TXN0061,2025-03-26 06:12:34,Oxfam International,UK,JP Morgan Chase,Panama Offshore Holdings,UK,Deutsche Bank,"$4,576,015",Cryptocurrency,Completed,NGO,Shell Company
TXN0062,2025-03-26 06:12:34,Crypto Exchange Ltd,UK,Swiss National Bank,BlackRock,British Virgin Islands,Swiss National Bank,"$555,951",SWIFT,Completed,Shell Company,Shell Company
TXN0063,2025-03-26 06:12:34,Rostec,Panama,Deutsche Bank,Red Cross,British Virgin Islands,Deutsche Bank,"$2,216,828",Wire Transfer,Under Review,Shell Company,NGO
TXN0064,2025-03-26 06:12:34,HSBC Holdings,Germany,Swiss National Bank,Greenpeace,Panama,Cayman National Bank,"$2,033,406",SWIFT,Pending,Corporation,NGO
TXN0065,2025-03-26 06:12:34,BlackRock,Russia,JP Morgan Chase,HSBC Holdings,China,Deutsche Bank,"$3,644,735",SWIFT,Pending,Shell Company,Corporation
