Transaction ID,Date,Sender Name,Sender Country,Sender Bank,Receiver Name,Receiver Country,Receiver Bank,Transaction Details,Amount,Status
TXN0001,2025-03-25 23:57:50,ExxonMobil,UK,Deutsche Bank,BlackRock,Switzerland,Cayman National Bank,Cryptocurrency,"$667,900",Under Review
TXN0002,2025-03-25 23:57:50,Shell Holdings Ltd,USA,HSBC,JP Morgan Chase,USA,Cayman National Bank,Cryptocurrency,"$3,277,836",Completed
TXN0003,2025-03-25 23:57:50,ABC Offshore Services,UK,HSBC,HSBC Holdings,UK,JP Morgan Chase,Cryptocurrency,"$2,593,746",Under Review
TXN0004,2025-03-25 23:57:50,ABC Offshore Services,USA,JP Morgan Chase,Tesla Inc.,Switzerland,Cayman National Bank,Wire Transfer,"$2,770,788",Rejected
TXN0005,2025-03-25 23:57:50,Rothschild & Co,Panama,HSBC,HSBC Holdings,Cayman Islands,Swiss National Bank,SWIFT,"$2,955,795",Under Review
TXN0006,2025-03-25 23:57:50,Shell Trading Ltd,China,Cayman National Bank,Panama Offshore Holdings,Panama,Cayman National Bank,Cryptocurrency,"$3,955,131",Completed
TXN0007,2025-03-25 23:57:50,Rostec,British Virgin Islands,HSBC,United Nations,USA,HSBC,SWIFT,"$904,649",Pending
TXN0008,2025-03-25 23:57:50,BlackRock,Panama,HSBC,Oxfam International,Germany,HSBC,Cryptocurrency,"$4,495,397",Under Review
TXN0009,2025-03-25 23:57:50,Nicolas Maduro,British Virgin Islands,Deutsche Bank,United Nations,Germany,Cayman National Bank,Wire Transfer,"$2,456,620",Pending
TXN0010,2025-03-25 23:57:50,Oxfam International,British Virgin Islands,JP Morgan Chase,Goldman Sachs,Cayman Islands,Swiss National Bank,Cheque,"$432,851",Pending
TXN0011,2025-03-25 23:57:50,Hawala Network Inc,Panama,Deutsche Bank,Greenpeace,UK,Deutsche Bank,Wire Transfer,"$3,571,482",Pending
TXN0012,2025-03-25 23:57:50,Shell Holdings Ltd,British Virgin Islands,Cayman National Bank,Oxfam International,Panama,HSBC,Cheque,"$2,263,937",Rejected
TXN0013,2025-03-25 23:57:50,World Health Organization,Cayman Islands,JP Morgan Chase,Oxfam International,Switzerland,HSBC,Wire Transfer,"$1,763,105",Under Review
