Transaction ID,Date,Sender Name,Sender Country,Sender Bank,Receiver Name,Receiver Country,Receiver Bank,Amount,Transaction Details,Status,Sender Predicted Category,Receiver Predicted Category,Risk Score
TXN-5511-370,25-03-2025 23:57,Rostec,UK,JP Morgan Chase,Greenpeace,Cayman Islands,HSBC,"$865,766 BTC",Cheque,Rejected,Shell Company,NGO,0.9500000000000001
TXN-5819-307,25-03-2025 23:57,ABC Offshore Services,UK,JP Morgan Chase,ExxonMobil,Cayman Islands,Deutsche Bank,"$1,226,361 USD",Wire Transfer,Completed,Shell Company,Corporation,0.9500000000000001
TXN-3005-385,25-03-2025 23:57,Vladimir Putin,Switzerland,Cayman National Bank,JP Morgan Chase,USA,Deutsche Bank,"$1,724,345 GBP",Cryptocurrency,Under Review,PEP,Corporation,0.9000000000000001
TXN-5523-237,25-03-2025 23:57,North Korea Trading Corporation,Switzerland,Cayman National Bank,Oxfam International,China,Cayman National Bank,"$2,125,575 BTC",SWIFT,Under Review,Shell Company,NGO,0.9500000000000001
TXN-3771-928,25-03-2025 23:57,BlackRock,Russia,Cayman National Bank,Shell Trading Ltd,USA,HSBC,"$4,215,624 EUR",SWIFT,Completed,Shell Company,Corporation,0.9500000000000001
TXN-1533-499,25-03-2025 23:57,Vladimir Putin,USA,Cayman National Bank,United Nations,UK,JP Morgan Chase,"$1,455,756 ETH",SWIFT,Completed,PEP,Government Organization,0.9000000000000001
TXN-7791-810,25-03-2025 23:57,Crypto Exchange Ltd,Panama,Cayman National Bank,Goldman Sachs,China,Deutsche Bank,"$2,734,148 EUR",Wire Transfer,Rejected,Shell Company,Corporation,1.0
TXN-1243-762,25-03-2025 23:57,Tesla Inc.,USA,Swiss National Bank,JP Morgan Chase,British Virgin Islands,Swiss National Bank,"$950,082 ETH",SWIFT,Under Review,Corporation,Corporation,0.1
TXN-8557-540,25-03-2025 23:57,Goldman Sachs,Russia,JP Morgan Chase,Goldman Sachs,Russia,Swiss National Bank,"$664,148 EUR",SWIFT,Pending,Corporation,Corporation,0.1
TXN-5872-573,25-03-2025 23:57,North Korea Trading Corporation,Cayman Islands,Swiss National Bank,Panama Offshore Holdings,UK,Deutsche Bank,"$222,360 BTC",SWIFT,Completed,Shell Company,Shell Company,1.0
TXN-1532-270,25-03-2025 23:57,Greenpeace,China,Deutsche Bank,Red Cross,Cayman Islands,JP Morgan Chase,"$4,020,444 USD",Cryptocurrency,Pending,NGO,NGO,0.1
TXN-1725-888,25-03-2025 23:57,Rostec,UK,JP Morgan Chase,Tesla Inc.,Germany,Deutsche Bank,"$1,696,126 USD",Cheque,Rejected,Shell Company,Corporation,0.9500000000000001
TXN-9433-154,25-03-2025 23:57,United Nations,Switzerland,JP Morgan Chase,Goldman Sachs,Switzerland,Cayman National Bank,"$991,469 EUR",SWIFT,Pending,Government Organization,Corporation,0.1
TXN-5690-556,25-03-2025 23:57,Goldman Sachs,Panama,Deutsche Bank,ExxonMobil,Switzerland,Cayman National Bank,"$3,828,464 BTC",Cheque,Completed,Corporation,Corporation,0.8
TXN-6461-360,25-03-2025 23:57,BlackRock,Panama,Cayman National Bank,Rothschild & Co,Russia,Swiss National Bank,"$4,149,767 ETH",SWIFT,Rejected,Shell Company,Corporation,1.0
TXN-6118-748,25-03-2025 23:57,Shell Holdings Ltd,China,Deutsche Bank,Oxfam International,China,JP Morgan Chase,"$4,155,173 BTC",SWIFT,Rejected,Corporation,NGO,0.1
TXN-9730-836,25-03-2025 23:57,North Korea Trading Corporation,UK,HSBC,BlackRock,USA,JP Morgan Chase,"$3,193,034 BTC",SWIFT,Pending,Shell Company,Shell Company,1.0
TXN-8305-146,25-03-2025 23:57,United Nations,British Virgin Islands,Cayman National Bank,HSBC Holdings,Cayman Islands,Swiss National Bank,"$3,894,786 EUR",Cheque,Pending,Government Organization,Corporation,0.1
TXN-8395-938,25-03-2025 23:57,ABC Offshore Services,Germany,Deutsche Bank,United Nations,Switzerland,JP Morgan Chase,"$1,831,186 GBP",Cryptocurrency,Completed,Shell Company,Government Organization,0.9500000000000001
TXN-8612-267,25-03-2025 23:57,Crypto Exchange Ltd,Russia,Cayman National Bank,HSBC Holdings,UK,Cayman National Bank,"$4,845,128 USD",SWIFT,Pending,Shell Company,Corporation,0.9500000000000001
TXN-3198-459,25-03-2025 23:57,Rothschild & Co,China,HSBC,Red Cross,UK,JP Morgan Chase,"$3,787,944 USD",SWIFT,Under Review,Corporation,NGO,0.1
TXN-5917-648,25-03-2025 23:57,United Nations,Cayman Islands,Swiss National Bank,Red Cross,Panama,Swiss National Bank,"$532,732 GBP",Cheque,Under Review,Government Organization,NGO,0.8
TXN-7120-241,25-03-2025 23:57,Goldman Sachs,China,Deutsche Bank,Goldman Sachs,Cayman Islands,Cayman National Bank,"$2,719,868 EUR",Cryptocurrency,Rejected,Corporation,Corporation,0.1
TXN-8188-183,25-03-2025 23:57,Red Cross,Switzerland,HSBC,World Health Organization,China,JP Morgan Chase,"$4,064,664 BTC",SWIFT,Rejected,NGO,NGO,0.1
TXN-1920-874,25-03-2025 23:57,Vladimir Putin,Russia,JP Morgan Chase,BlackRock,Russia,Cayman National Bank,"$4,679,956 USD",Cryptocurrency,Completed,PEP,Shell Company,1.0
TXN-9697-251,25-03-2025 23:57,Panama Offshore Holdings,Panama,Cayman National Bank,ExxonMobil,Panama,Cayman National Bank,"$4,669,002 GBP",Cryptocurrency,Completed,Shell Company,Corporation,1.0
TXN-5357-353,25-03-2025 23:57,HSBC Holdings,Panama,Cayman National Bank,ExxonMobil,Panama,Swiss National Bank,"$251,679 USD",SWIFT,Rejected,Corporation,Corporation,1.0
TXN-2869-675,25-03-2025 23:57,HSBC Holdings,China,Deutsche Bank,Greenpeace,China,Deutsche Bank,"$2,504,766 EUR",Cheque,Pending,Corporation,NGO,0.1
TXN-9619-301,25-03-2025 23:57,Goldman Sachs,China,Cayman National Bank,HSBC Holdings,Cayman Islands,HSBC,"$2,881,148 ETH",Cheque,Pending,Corporation,Corporation,0.1
TXN-4988-870,25-03-2025 23:57,United Nations,USA,Deutsche Bank,HSBC Holdings,Panama,HSBC,"$1,933,677 BTC",Cheque,Under Review,Government Organization,Corporation,0.8
